App,review_date,review_description,rating,thumbsUpCount,developer_response,developer_response_date,appVersion,review_month
Zomato,2023-07-23 15:52:11,"So basically , it's the best approach you'll ever find 😉 , like it has every restaurant you could ever find in your city !!! Ans isn't every delivery on time !,) just 2 negative points for zomato that some orders take a very long period of time and some times the order prices are too high . No doubt this is the best food ordering app but some sort of silly things are not convenient. So kindly fix these problems 🙏",5,99,,,17.6.0,2023-07
Zomato,2023-07-08 04:32:18,"Always Late Delivery. No change. Late delivery 😒😒 And the map is showing is not an actual map. Showing roads and streets unaligned. For almost six months, it's showing like this. I check on every update. It doesn't fix. Just you order food for yourself. You will get know. Kindly have a look and fix it ASAP. Swiggy's map is perfect.",1,416,"Hi Magesh, sorry to hear about that. Please write to us at psreviewsupport@zomato.com and we'll reach out to you at the earliest.",2023-07-08 11:35:20,17.5.8,2023-07
Zomato,2023-07-24 21:14:56,"This app is froude with their zomato gold, i have subscribed for their gold membership and all of the sudden they stopped showing me all restaurant at night, however i can see it all with deferent phone for same location. There are no way to reach to there customer care for this issue and they do not respond on there email",1,1,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",2023-07-24 21:15:52,17.6.2,2023-07
Zomato,2023-07-24 17:07:55,I tried 100 times adding an alternate number in your application but it's not done due to network issues I am unable to call and respond to your calls so I need to add my alternate number for convenience but nothing happens after the window opens to add contact. Kindly help me regarding the same.,1,1,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",2023-07-24 17:09:50,17.6.2,2023-07
Zomato,2023-07-22 13:28:26,"In recent years, Zomato support has become less responsive to customers' complaints, and chat support is not as effective as it once was. However, I activated Zomato gold last month, and now I observe that my profile account has been down upgraded to Zomato for more than 30 days. Considering the regular updates on Zomato apps, I had hoped that the issue would be resolved soon. However, the problem persists. I would appreciate it if you could check and let me know.",1,30,"Hi Shaik, we're sorry to hear that. We are constantly working to improve our support infrastructure. It would be great if you can share your concern at psreviewsupport@zomato.com, so we can address the same on priority.",2023-07-23 10:29:50,17.6.2,2023-07
Zomato,2023-07-23 06:34:33,Awful customer service. Zomato does not have a logical protocol for when an item is missing from your order. They simply say they tried calling the restaurant to validate but the restaurant isn't picking up the phone call. This has happened several times in last 2 days. I escalated to a supervisor and he simply refused to answer my question on their protocol. I smell something fishy. You have lost a zomato gold customer 😒,1,18,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",2023-07-23 06:35:38,17.6.2,2023-07
Zomato,2023-07-23 04:04:12,"Worst when it comes to support from them in case of missing or incorrect orders, they do not trust the customers, help chat is there still they ask you to email the issue and they connect with restaurants for verification and in case restaurant is not reachable they wont do anything and not even respond you on email for follow ups . There are much better options to go for guys other than Zomato, i will be stopping using such useless app, recommend you the same.",1,8,,,17.5.9,2023-07
Zomato,2023-07-17 04:47:27,Not at all recommended. I've been using this Zomato from last 6 months with Zomato gold. Main issue I have faced is... If we got incorrect order they won't replace or refund or give you any coupon.. I've personally faced this many times in last few months. Same with spilled order. Even I've got spoiled food once and told the about the issue and they told from next time they make sure everything go proper... I've thrown the food in dustbin. Unfortunately we can't upload screenshots in play Store,1,56,"Hi Nitesh, we extend our sincere apologies towards the inconvenience caused to you. We'd request you to kindly write to us at psreviewsupport@zomato.com and we'll reach out to you immediately so as to resolve this.",2023-07-20 09:26:33,17.5.8,2023-07
Zomato,2023-07-06 16:52:48,A very good app for food delivery. Could do more with adding more options by adding more options for restaurants. The above was Written in 2020. Now on 2022 the app is becoming useless... Their customer service has no clue what is happening or how to solve issues. The app is going backwards rather than being progressive... instead of making it progress with time the way the app is it seems like just stagnant and not wanting to improve with the problems they are facing or will face in future...,1,225,"Hi there, thank you for bringing this matter to our notice. Your feedback is duly noted, and we'll certainly work to improve our services based on the same. We hope you have a better experience with us in the future.",2022-04-15 06:29:39,17.5.8,2023-07
Zomato,2023-07-19 15:01:44,"I have had really mixed experience with zomato, sad to see most of their tie ups have not been validated by them only when it comes to taste. Food pictures don't match actual food. They must improve tie ups especially for vegetarians. THERMCOL PACKAGING this should be MUST MUST option for customer who prioritise health and don't prefer plastic and aluminium.",2,13,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",2023-07-21 08:17:24,17.6.0,2023-07
Zomato,2023-07-25 07:38:37,"Though the app provides good services but is some major concerns are : 1) Delivery charges are often very high as compared to other apps. 2) coupans for a restaurant may not be given to everyone i.e. if you frequently order from a particular restaurant then, you will not get the coupons on that restaurant which might be given to other users 3) THE BIGGEST SETBACK is that apart from the delivery charges, Zomato does not show the actual prices of food items, it shows 25% high prices of dishes.",4,0,,,17.6.0,2023-07
Zomato,2023-07-20 14:03:20,"Very bad customer service. They even have a paid premium membership but there isn't any change in customer service. Emails don't get replies and there is no chance of speaking to an agent on bot. The only options they provide are from a list of unrelated prompts and it's not possible to type or upload photos of any issue outside of the options they give. I had a spillage issue for the whole order and the bot only gave me options of getting a 20 rupee coupon or ""just report the issue""",1,157,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",2023-07-21 08:21:15,17.6.0,2023-07
Zomato,2023-07-25 10:26:15,"This review is not just about app experience but an overall online food buying experience- Enhanced prices just exploit the middle class. Nearly 40 Rs delivery charge for a distance of 2 km is very unjust and shows that you are just using your monopoly in the market. For a new user it becomes difficult to find even those fake coupons which apply on enhanced prices. If are not able to use them, by default you will not reduce the price, thus looking for every opportunity to just earn.",3,0,,,17.6.0,2023-07
Zomato,2023-07-20 04:17:35,Lately the minimum order amount required to apply offer seems to be really high. Ordering for a single person will find it difficult to meet that value and claim offer. Then there is the map issue. It's showing some random lines and places instead of actual map.,1,13,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",2023-07-21 08:19:14,17.6.0,2023-07
Zomato,2023-07-15 17:28:40,They assigned 2 orders to my delivery guy. After picking up my order he was waiting for almost an hr for his 2nd pickup from a mall! I tried contacting customer service multiple times but they were no help! Twice they closed my issue without resolution! They weren't willing to assign the 2nd order to someone else so that he could atleast deliver mine. I had to eventually cancel my order after waiting for 2 hrs. Absolutely disappointing experience! Swiggy is way better at problem resolution.,1,68,"Hi Shoita, sorry to hear about that. Please write to us at psreviewsupport@zomato.com and we'll reach out to you at the earliest.",2023-07-21 09:04:53,17.6.0,2023-07
Zomato,2023-07-12 08:00:57,"Very bad experience with Zomato, not with their services but with their hotel tie-ups. I have been disappointed with last 3 orders & for last orders I have asked for the order replacement which was not fulfilled. I have asked many times to their customer service to initiate the talk with hotels in terms of improving their food quality, because of my personal experience what i have had with ordering from zomato, but all were not supportive. If I would have had minus rating, I would have given it.",1,234,,,17.5.9,2023-07
Zomato,2023-07-08 17:24:45,"Zomato is fantastic! The app is easy to use, and it offers a wide range of restaurants to choose from. The delivery service is efficient, with real-time tracking, and the food always arrives fresh and delicious. I love the discounts and promotions they offer. Overall, I highly recommend Zomato for a convenient and satisfying dining experience.",5,284,"Hi Swaroop, glad to hear that! Thank you for your feedback.",2023-07-13 17:09:01,17.5.8,2023-07
Zomato,2023-07-02 16:19:46,"Zomato is hands down the best food app I've ever used! It's simple, convenient, and has made my food adventures so much easier. I love how easy it is to find restaurants, check menus, and read reviews all in one place. Ordering food for delivery is a breeze, and the delivery service is always reliable. Whether I'm in the mood for something fancy or just want to grab a quick bite, Zomato has got me covered. It's my go-to app whenever I want to explore new flavors or satisfy my cravings.",5,159,"Hi there, glad to hear that! Thank you for your feedback.",2023-07-02 16:22:19,17.5.7,2023-07
Zomato,2023-07-23 08:47:41,It has a 100% cancellation fee for all restaurants so if you enter the wrong address you are stuck with the order as whether you take it or not your money is gone. Please wnsure you have entered the right address. Also It forces the gold membership on you but does not delivered on its promise of upto 100% coupon on late deliveries. That's fake.,1,6,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",2023-07-23 08:50:39,17.5.8,2023-07
Zomato,2023-07-20 15:41:06,"No customer service facility, recently launched some collection of coupons facility which is totally scam, it shows that you have collected the coupon but when you try to order the food by using those coupons , it shows that coupons are not eligible, eventhough if you receive wrong food items, you don't get a chance to connect with customer support executive and if by chance if you get that option, they say restaurant is wholly responsible for that.Pathetic service and they are charging too much",1,6,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",2023-07-21 08:21:50,17.6.0,2023-07
Zomato,2023-07-19 15:32:46,It is a nice app for all to order food. You don't need to go anywhere just order what you want and click place button. And in 20 to 30 minutes your order is at your door. I cut 1 stars because there is no offer for cash on delivery. But overall the zomato app is good. Thank you for reading my feedback god bless you,4,1,"Hi Sonali, glad to hear that! Thank you for your feedback.",2023-07-22 13:30:07,17.6.0,2023-07
Zomato,2023-07-20 15:30:22,"My order was delayed, and they kept increasing the delivery time. When I reached Zomato, they were not able to connect with the restaurant. When I asked for a cancellation, they said I had to pay cancellation charges. Ideally, Zomato should support the customer, as I ordered through their application. Still, they aren't bothered and are asking to ""wait for some time"". Finally, as there is no help from Zomato, I agreed to cancel the order and deduct the cancellation charge from my refund.",1,9,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",2023-07-21 08:21:40,17.6.0,2023-07
Zomato,2023-07-19 09:28:29,"It is the leading online food delivery app in India which provides food delivery during all weather conditions. Most of the restaurants are already added there. The interface and the performance of the app is super amazing, just loving it. Just some times the time shows on the delivery is not accurate rather I would say it's slow.",5,186,"Hi Ekbal, that's great! Glad to know you enjoyed using Zomato.",2022-03-14 13:57:15,17.6.0,2023-07
Zomato,2023-07-19 05:00:11,"The app is amazing but one thing I find it unusual that there's no time given for cancelling our order.... because if we go for cancellation then it charges penalty to us. Atleast one minute time lapse is been given to us just like swiggy does. Thankyou, I hope you'll take this feedback positively.",5,9,"Hi Sudhanshu, sorry to hear about that. Please write to us at psreviewsupport@zomato.com and we'll reach out to you at the earliest.
",2023-07-23 13:11:16,17.6.0,2023-07
Zomato,2023-07-15 05:50:16,"Zomato Gold is a SCAM. Certain offers and coupon codes are simply not available to you if you're a ""Gold Member"". My friend doesn't have Zomato Gold and he was able to get cheaper overall price on the same items from the same restaurant for delivery!! You still pay for delivery unless the order is a certain amount and additional discounts only apply on large orders. I feel totally cheated.",2,49,"Hi Varun, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we'll get this checked immediately.",2023-07-21 07:12:59,17.6.0,2023-07
Zomato,2023-07-01 14:24:41,Uninstalling the app right now. 4 time it has cancelled my order. And refund is alway after 7th day. It always shows refund completed but the amount takes 8 to 9 days to show in acc. 2 times it has confirmed the order in cash on delhivery even if I choose online payment and after the payment it complete it shows that the order was never placed and amount will be refunded. And 6 time the amount was deducted from my account but the order was not placed.,1,79,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we'll get this checked immediately.",2023-07-07 13:07:53,17.5.7,2023-07
Zomato,2023-07-07 07:46:40,"It was all good until they introduced this most fuc*d#p feature: ""don't send cutlery with this order"" which is some how auto enable(couldn't find any options to turn it off). Why do I need to consciously remember that I have no cutlery at home; and I need to manually disable this option??? This is 4th time i ordered the and don't have any spoons to eat. It is so frustrating that I'm reverting back to Swiggy even though I switched to Zomato because I wasn't happy with this app in the first place.",1,44,,,17.5.7,2023-07
Zomato,2023-07-16 10:09:11,Gold membership is a scam in my last 5 order experiences. They promise on time delivery & shorter time for delivery before booking. After you book the time changes to additional 15-20 mins. You can't talk to the customer service even with a gold membership. There won't be any response for the time delay & no refund of your gold membership fee as well. Pay & wait for the cold food. Uninstalling this app for good. Do not waste money in membership.,1,22,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we'll get this checked immediately.",2023-07-21 08:45:59,17.5.9,2023-07
Zomato,2023-07-15 17:30:12,"Some items were missing in my order.... When spoke to customer service, they ask me to provide a review to the hotel. But refused to provide me a refund or a replacement. They say that they are not able to connect with the Hotel and disconnet the chat. We place orders from Zomato Because we expect the complete order to be delivered. I have placed an order for Rs 900. And received items worth Rs 400. They have cheated me. I would request everyone to stop using Zomato.",1,15,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",2023-07-21 08:01:51,17.5.9,2023-07
Zomato,2023-07-15 09:55:06,"Searching for places to eat and ordering online is quick and easy. Keeping a history of earlier visits and favourite places is nice. Sometimes the app doesnt detect the location correctly but that can be fixed with a little manual entry. Ability to filter by type of cuisine, dine in or take away etc is good. The new food category filter is very good. The ordering process has become easier.",5,262,,,17.5.9,2023-07
Zomato,2023-07-08 18:22:43,No customer support available. Placed my order and it kept showing that the order is being prepared but the restaurant had already closed. I have been trying to get my order cancelled on the app but it gave no such option and even tried calling the restaurant for the same. Need customer support to process the refund but in vain! Absolutely crass service.,1,48,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",2023-07-21 07:30:20,17.5.9,2023-07
Zomato,2023-07-25 13:19:29,There's not a single app in the world which implies 100% cancellation charges. Thank you Zomato for your services. Never going to use your app. Mark my words. Edit : Worst customer service also. You can never and will never get your genuine problems solved through their customer support. They will keep spamming the same things whatever you tell them.,1,2,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",2023-07-25 13:18:03,17.6.0,2023-07
Zomato,2023-07-23 15:45:36,"The best ever food delivery app.. Recommend highly !! Everything is good,I CANNOT BELIEVE HOW FAST THEIR DELIVERY IT IS !! 💕💕 My first order just received by 10 minutes, not only my first order every order takes a very little time..It is so easy to order and POLITE delivery partner!! 😍 There is a cute Tomato buddy to help us about the order, instant delivery messages through whatsapp..We can track our orders easily !! THE GREEN DELIVERY THINGS IS VERY GOOD TO ENVIRONMENT, Eco friendly app",5,0,"Hi there, glad to hear that! Thank you for your feedback.",2023-07-24 10:27:08,17.5.9,2023-07
Zomato,2023-05-07 15:42:17,"A few months ago, the app worked flawlessly. Unfortunately, these days it often displays that no delivery partners are nearby, causing a daily inconvenience. Consequently, a single delivery partner has to collect and deliver 2-3 orders at a time, causing delays. Regrettably, I have to delete your app and switch to Swiggy for better delivery options and readily available partners. I'm willing to return if the issue is resolved.",1,337,,,17.4.6,2023-05
Zomato,2023-07-25 11:45:49,"The app is not professional in its approach. I recently ordered food from a local restaurant ; the order was delivered with lots of delay and to my surprise i found out the order was incomplete. Some ordered foods are missing! When i raised the issue, the app management didnot take any initiative to solve the issue. Such un professionalism is not expected.",1,0,,,17.6.2,2023-07
Zomato,2023-07-10 06:04:55,"Absolutely garbage of a delivery app, they always get the order wrong or are super late and it shows slightly delayed even though it's 1 hour late. The taxes they charge got super high and the customer support isn't helpful at all and just tell you to wait for any problem you come with. Swiggy is 10000x better",1,34,,,17.5.9,2023-07
Zomato,2023-07-24 05:08:18,"More food options than on Swiggy. Better for me. I like the options to add voice instructions, pay online after placing order, add note to restaurant add instructions on delivery etc. Always on time. Once when delayed, as promised, i was refunded the amount promised. Improvements needed: Wish there was an option to cancel the order without losing money within a minute. Also to be able to edit posted reviews and post reviews without photos. No idea re customer care - how good or bad.",4,99,"Hi There, thank you for reaching out. We are constantly striving to improve our service/product for our customers, and your feedback goes a long way in helping us do so. Thank you once again, do keep sharing your valuable inputs with us.",2021-06-13 10:05:00,17.6.0,2023-07
