App,review_date,review_description,rating,thumbsUpCount,developer_response,developer_response_date,appVersion,review_month,rating_band,half_year,ai_category,ai_reason
Zomato,2022-04-22 15:40:25,"Worst Customer Service Ever, never buy Zomato Pro, Go instead with Swiggy. They looted me twice by delivering different order and then giving no response.",1,0,"Hi there, please write to us at psreviewsupport@zomato.com so that we can check where exactly things went wrong and assist you accordingly.",2022-04-23 08:00:22,,2022-04,1star,2022-H1,Customer Support Experience,no response after order mix-up
Zomato,2022-02-28 18:41:37,"No customer service replies, wrong number of restaurants on their app, 1.5 hours to deliver a couple of salads to a place located literally 5 min away by car!!",1,0,"Hi there, sorry to hear about that. Please write to us at psreviewsupport@zomato.com and we'll reach out to you at the earliest.",2022-02-28 19:08:24,16.3.5,2022-02,1star,2022-H1,Delivery Time/Delay,1.5 hours for 5 min distance
Zomato,2022-04-04 08:23:46,Pathetically delay in service each time. All the time the support team says we are sorry for that. Doesn't even care to improve the service,1,0,"Hi Tanmay, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we'll get this checked immediately.",2022-04-04 14:25:36,,2022-04,1star,2022-H1,Delivery Time/Delay,"repeated delay, no improvement"
Zomato,2022-05-12 18:39:03,"It's very funny ,the address what I have written is correct. but, the address shown by Zomato on the map is different and then they cancel the order and told me that they are blocking my account then they don't do it what is happening here 🤣",1,0,"Hi there, sorry to hear about that. Please write to us at psreviewsupport@zomato.com and we'll reach out to you at the earliest.",2022-05-13 08:04:24,,2022-05,1star,2022-H1,App Technical Issues,incorrect map address causing cancellation
Zomato,2022-03-04 21:07:12,"I been a customer of zomato pro plus i find that its totally scam, at first it use to give us fair deals as i keep ordering daily 3 times they reduced my offers instead and also been a pro plus customer costs a lot than ordering from swiggy without any subscription. But one thing i really appreciate about zomato is that earlier it use to handle customers very smoothly but as if now i think its reputation is gone.",1,1,"Hi Zeeshan, sorry to hear about that. Please write to us at psreviewsupport@zomato.com and we'll reach out to you at the earliest.",2022-03-07 14:06:30,16.3.6,2022-03,1star,2022-H1,"Pricing, Charges & Refunds","Pro membership offers reduced, feels like scam"
Zomato,2022-06-05 15:51:55,It's too late delivered pizza and pizza is very cool so tasteless it's very bad 😔,1,0,"Hi Rajesh, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we'll get this checked immediately.",2022-06-06 15:07:01,,2022-06,1star,2022-H1,Delivery Time/Delay,"late delivery, food went cold"
Zomato,2022-02-14 17:56:31,"Too much of branding yet so less on providing quality service. Never delivers on time for which the customers cant claim the so called ""On time delivery or free"" offer. Very much annoyed by their aggressive ads everywhere. Hope they would have worked so aggressively on improving their services.",1,5,"Hi Aviper, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we'll get this checked immediately.",2022-02-19 13:09:29,16.2.9,2022-02,1star,2022-H1,Delivery Time/Delay,never delivers on time despite guarantee
Zomato,2022-05-04 15:35:30,Simple worst app..either Zomato is dictating the terms or the restaurant...and who is ...the customer...bunch of mediocres at both ends,1,0,"Hi Tony, sorry to hear about that. Please write to us at psreviewsupport@zomato.com and we'll reach out to you at the earliest.",2022-05-13 09:31:06,16.4.9,2022-05,1star,2022-H1,Other/Not Categorizable,"vague complaint, no specific issue"
Zomato,2022-06-26 13:54:17,This is first time I ordered from zomato and have bad experience. Waiting for Foo from past 1 hour 20 min. No one is responding to call or chat. Unable to cancel,1,0,"Hi Reshma, sorry to hear about that. Please write to us at psreviewsupport@zomato.com and we'll reach out to you at the earliest.",2022-06-26 15:28:41,16.5.6,2022-06,1star,2022-H1,Delivery Time/Delay,"1hr20 wait, unable to cancel"
Zomato,2022-03-29 20:18:59,Previously app was good but now they are not providing good quality food.not even taking responsibility there restaurant fault.i contacted Zomato chat support.they also not helping.,1,0,"Hi Hirak, please write to us at psreviewsupport@zomato.com & we'll look into this asap. We also encourage you to share your feedback with the restaurant, by writing a review on Zomato.",2022-03-30 14:30:10,16.2.3,2022-03,1star,2022-H1,Restaurant/Food Quality,"declining food quality, restaurant fault"
